,Unnamed: 0.1,Unnamed: 0,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_name
17,17,17,Apple,Ultrabook,Intel Core i7 2.9GHz,16,512GB SSD,AMD Radeon Pro 560,macOS,1.83,152274.24,0,1,220.53462386625827,Intel Core i7
18,18,18,Lenovo,Notebook,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 940MX,No OS,2.2,26586.72,0,0,141.21199808219862,Intel Core i3
19,19,19,Dell,Ultrabook,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22,52161.12,1,1,165.6321180513006,Intel Core i5
20,20,20,Asus,Netbook,Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Intel HD Graphics 400,Windows 10,0.98,10224.432,0,0,135.0942111925629,Intel Processor
21,21,21,Lenovo,Gaming,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,53226.72,0,1,141.21199808219862,Intel Core i5
22,22,22,HP,Notebook,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,No OS,1.86,13746.24,0,0,100.45466986113652,AMD Processor
23,23,23,Dell,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62,43636.32,1,0,165.6321180513006,Intel Core i5
24,24,24,HP,Ultrabook,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.91,35111.52,0,0,141.21199808219862,Intel Core i7
25,25,25,Dell,Notebook,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows 10,2.3,22305.1392,0,0,100.45466986113652,Intel Core i3
26,26,26,Apple,Ultrabook,Intel Core i5 1.6GHz,8,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,58554.72,0,0,127.67794013309688,Intel Core i5
27,27,27,Dell,Notebook,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,42624.0,0,0,141.21199808219862,Intel Core i5
28,28,28,Dell,Ultrabook,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,69157.44,0,0,141.21199808219862,Intel Core i7
29,29,29,HP,Notebook,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,47738.88,0,0,127.33567457123112,Intel Core i5
30,30,30,Chuwi,Notebook,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89,13053.0672,0,0,141.21199808219862,Intel Processor
31,31,31,Asus,Notebook,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65,10602.72,0,0,111.93520355955212,AMD Processor
32,32,32,HP,Notebook,AMD A6-Series 9220 2.5GHz,4,500GB HDD,AMD Radeon 530,Windows 10,2.71,23389.92,0,0,127.33567457123112,AMD Processor
33,33,33,Dell,Ultrabook,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2,99580.32,1,0,276.053530085501,Intel Core i7
34,34,34,Apple,Ultrabook,Intel Core i5 1.6GHz,8,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,53173.44,0,0,127.67794013309688,Intel Core i5
35,35,35,Lenovo,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44,13266.72,0,0,111.93520355955212,Intel Processor
36,36,36,Acer,Notebook,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Intel HD Graphics 620,Linux,2.1,19553.76,0,0,100.45466986113652,Intel Core i3
37,37,37,Dell,Notebook,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8,52161.12,0,1,127.33567457123112,Intel Core i5
38,38,38,HP,Notebook,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows 10,1.86,26037.4032,0,0,100.45466986113652,Intel Core i5
39,39,39,HP,Notebook,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1,46833.12,0,0,141.21199808219862,Intel Core i5
40,40,40,Asus,Notebook,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 620,Linux,2.0,20725.92,0,0,141.21199808219862,Intel Core i3
41,41,41,Dell,Gaming,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,79866.72,0,1,141.21199808219862,Intel Core i7
42,42,42,Asus,Notebook,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Nvidia GeForce 940MX,Linux,2.3,27864.9072,0,0,100.45466986113652,Intel Core i5
43,43,43,Acer,Notebook,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2,36336.96,0,1,141.21199808219862,Intel Core i5
44,44,44,Dell,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77,53226.72,1,0,127.33567457123112,Intel Core i5
45,45,45,Apple,Ultrabook,Intel Core i5 2.0GHz,8,256GB SSD,Intel Iris Graphics 540,macOS,1.37,75604.32,0,1,226.98300468106115,Intel Core i5
46,46,46,Lenovo,Notebook,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,No OS,2.2,19660.32,0,0,100.45466986113652,Intel Core i3
47,47,47,Asus,Gaming,AMD Ryzen 1700 3GHz,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2,69210.72,0,0,127.33567457123112,AMD Processor
48,48,48,Dell,Notebook,Intel Core i5 7200U 2.5GHz,4,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3,34045.92,0,0,141.21199808219862,Intel Core i5
49,49,49,Asus,Notebook,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8,24828.48,0,0,90.58340172449304,Intel Processor
50,50,50,Lenovo,2 in 1 Convertible,Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Intel HD Graphics 400,Android,0.69,16996.32,1,1,224.1738090785728,Intel Processor
51,51,51,Acer,Notebook,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2,44808.48,0,1,141.21199808219862,Intel Core i7
52,52,52,HP,Notebook,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86,21231.5472,0,0,141.21199808219862,AMD Processor
53,53,53,HP,Notebook,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,58767.84,0,0,165.6321180513006,Intel Core i7
54,54,54,Acer,Notebook,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,Windows 10,2.4,20459.52,0,0,100.45466986113652,Intel Core i3
55,55,55,Dell,Notebook,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,Windows 10,2.13,40908.384,0,0,141.21199808219862,Intel Core i7
56,56,56,HP,Notebook,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,Windows 10,1.91,23389.92,0,0,141.21199808219862,Intel Core i3
57,57,57,Asus,Notebook,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,31232.2032,0,0,100.45466986113652,Intel Core i5
58,58,58,MSI,Gaming,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43,130482.72,0,0,127.33567457123112,Intel Core i7
59,59,59,Asus,Notebook,Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,Linux,2.0,22111.2,0,0,141.21199808219862,Intel Core i3
60,60,60,Dell,Notebook,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8,69210.72,0,0,127.33567457123112,Intel Core i7
61,61,61,Dell,Ultrabook,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7,46833.12,0,0,157.3505121487356,Intel Core i5
62,62,62,Lenovo,Notebook,Intel Core i3 7130U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,No OS,1.7,31914.72,0,1,157.3505121487356,Intel Core i3
63,63,63,Asus,Notebook,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4,50136.48,0,0,157.3505121487356,Intel Core i5
64,64,64,HP,Notebook,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.86,36763.2,0,0,141.21199808219862,Intel Core i5
65,65,65,Asus,Ultrabook,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,105654.24,0,0,141.21199808219862,Intel Core i7
66,66,66,HP,Notebook,Intel Core i3 6006U 2GHz,4,500GB HDD,AMD Radeon 520,Windows 10,1.86,23373.4032,0,0,100.45466986113652,Intel Core i3
67,67,67,HP,Notebook,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Intel HD Graphics 400,Windows 10,1.44,12201.12,0,0,111.93520355955212,Intel Processor
68,68,68,Lenovo,Notebook,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows 10,1.9,29250.72,0,0,141.21199808219862,Intel Core i5
69,69,69,Asus,Gaming,Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3.0,50562.72,0,0,127.33567457123112,Intel Core i7
70,70,70,Microsoft,Ultrabook,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,58021.92,1,0,200.84255993695703,Intel Core i5
71,71,71,Dell,Ultrabook,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows 10,1.4,50882.4,0,1,165.6321180513006,Intel Core i7
72,72,72,Dell,Notebook,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,46353.6,0,0,141.21199808219862,Intel Core i7
73,73,73,MSI,Gaming,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7,58341.6,0,0,127.33567457123112,Intel Core i5
74,74,74,Acer,Notebook,Intel Core i3 6006U 2GHz,8,1TB HDD,Intel HD Graphics 520,Windows 10,2.1,20725.92,0,0,111.93520355955212,Intel Core i3
75,75,75,Asus,Gaming,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,50562.72,0,0,141.21199808219862,Intel Core i7
76,76,76,Lenovo,Notebook,Intel Core i5 7200U 2.5GHz,8,2TB HDD,Intel HD Graphics 620,No OS,2.2,27652.32,0,0,141.21199808219862,Intel Core i5
77,77,77,Dell,Notebook,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02,45554.4,0,0,141.21199808219862,Intel Core i7
78,78,78,Acer,Notebook,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2,28238.4,0,0,141.21199808219862,Intel Core i3
79,79,79,HP,Notebook,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,52054.56,0,0,127.33567457123112,Intel Core i5
80,80,80,Dell,Ultrabook,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,58403.4048,0,1,141.21199808219862,Intel Core i5
81,81,81,Apple,Ultrabook,Intel Core i5 1.3GHz,8,512GB SSD,Intel HD Graphics 615,macOS,0.92,80452.8,0,1,226.4155471693585,Intel Core i5
82,82,82,HP,Notebook,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.63,45820.8,0,0,157.3505121487356,Intel Core i5
83,83,83,Lenovo,Notebook,AMD A6-Series 9220 2.5GHz,4,128GB SSD,AMD R4 Graphics,Windows 10,2.2,21258.72,0,0,141.21199808219862,AMD Processor
84,84,84,Acer,Notebook,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5,Windows 10,2.1,21045.6,0,0,100.45466986113652,AMD Processor
85,85,85,Dell,Gaming,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,71874.72,0,1,141.21199808219862,Intel Core i7
86,86,86,HP,Ultrabook,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83,37242.72,0,1,141.21199808219862,Intel Core i7
87,87,87,HP,Notebook,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.96,31914.1872,0,0,141.21199808219862,Intel Core i5
88,88,88,Asus,Gaming,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,77202.72,0,1,141.21199808219862,Intel Core i7
89,89,89,Dell,Ultrabook,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,87858.72,0,1,165.6321180513006,Intel Core i7
90,90,90,Asus,Gaming,AMD FX 9830P 3GHz,8,1TB HDD,AMD Radeon RX 560,Windows 10,2.45,37242.72,0,0,141.21199808219862,AMD Processor
91,91,91,Acer,Notebook,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce MX150,Windows 10,2.2,36709.92,0,0,141.21199808219862,Intel Core i7
92,92,92,HP,Notebook,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,63776.16,0,0,165.6321180513006,Intel Core i7
93,93,93,Dell,Gaming,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65,63669.6,0,0,141.21199808219862,Intel Core i5
94,94,94,Asus,Ultrabook,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.25,55890.72,0,0,157.3505121487356,Intel Core i7
95,95,95,Acer,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.5,45128.16,1,1,165.6321180513006,Intel Core i5
96,96,96,Dell,Notebook,Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R5 M430,Linux,2.2,31962.672,0,0,141.21199808219862,Intel Core i7
97,97,97,Dell,Notebook,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,Linux,2.2,25840.8,0,0,141.21199808219862,Intel Core i3
98,98,98,Asus,Notebook,Intel Core i3 7100U 2.4GHz,6,256GB SSD,Nvidia GeForce 920M,Windows 10,2.0,30742.56,0,0,141.21199808219862,Intel Core i3
99,99,99,HP,Gaming,Intel Core i7 7700HQ 2.8GHz,12,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62,66546.72,0,1,141.21199808219862,Intel Core i7
100,100,100,HP,Notebook,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon 530,Windows 10,1.91,38308.32,0,0,141.21199808219862,Intel Core i7
101,101,101,HP,Notebook,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,Windows 10,2.1,18594.72,0,0,141.21199808219862,AMD Processor
102,102,102,Dell,Notebook,Intel Core i5 8250U 1.6GHz,8,1TB HDD,AMD Radeon 520,Linux,2.2,34472.16,0,0,141.21199808219862,Intel Core i5
103,103,103,HP,Ultrabook,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce MX150,Windows 10,1.38,59620.32,0,1,165.6321180513006,Intel Core i7
104,104,104,Microsoft,Ultrabook,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,71395.2,1,0,200.84255993695703,Intel Core i5
105,105,105,HP,Notebook,Intel Core i5 7200U 2.5GHz,6,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.58,35111.52,0,1,157.3505121487356,Intel Core i5
106,106,106,Lenovo,Notebook,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows 10,1.85,22105.872,0,0,141.21199808219862,Intel Core i3
107,107,107,Asus,Ultrabook,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.3,63563.04,0,1,157.3505121487356,Intel Core i7
108,108,108,MSI,Gaming,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,69210.72,0,0,141.21199808219862,Intel Core i7
109,109,109,Lenovo,Notebook,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.58,78854.4,0,1,157.3505121487356,Intel Core i7
110,110,110,Asus,Ultrabook,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce MX150,Windows 10,1.5,67239.36,0,0,141.21199808219862,Intel Core i7
111,111,111,Dell,Ultrabook,Intel Core i7 7560U 2.4GHz,8,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.23,73473.12,1,0,276.053530085501,Intel Core i7
112,112,112,Lenovo,2 in 1 Convertible,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.37,74538.72,1,1,165.6321180513006,Intel Core i5
113,113,113,HP,Notebook,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,Windows 10,1.63,38468.16,0,1,111.93520355955212,Intel Core i5
114,114,114,Dell,Ultrabook,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,86793.12,0,1,165.6321180513006,Intel Core i5
115,115,115,HP,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.26,74538.1872,1,1,165.6321180513006,Intel Core i5
116,116,116,HP,Notebook,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.63,57755.52,0,0,157.3505121487356,Intel Core i7
117,117,117,Dell,Notebook,Intel Core i7 8550U 1.8GHz,8,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.16,60223.9824,0,1,141.21199808219862,Intel Core i7
118,118,118,Asus,Notebook,Intel Core i3 6006U 2GHz,4,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.0,30049.92,0,0,127.33567457123112,Intel Core i3
119,119,119,Asus,Notebook,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7,59567.04,0,0,141.21199808219862,Intel Core i7
120,120,120,Acer,Notebook,Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,Windows 10,2.1,25521.12,1,1,141.21199808219862,Intel Core i3
121,121,121,MSI,Gaming,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,1.8,119427.12,0,0,141.21199808219862,Intel Core i7
122,122,122,Lenovo,Notebook,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,No OS,2.2,33513.12,0,0,141.21199808219862,Intel Core i5
123,123,123,HP,Notebook,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 930MX ,Windows 10,2.5,67718.88,0,0,127.33567457123112,Intel Core i7
124,124,124,Acer,Notebook,AMD A9-Series 9420 3GHz,4,256GB SSD,AMD Radeon R5,Windows 10,2.1,24029.28,0,0,100.45466986113652,AMD Processor
125,125,125,HP,Notebook,Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,No OS,1.86,13799.52,0,0,100.45466986113652,Intel Processor
126,126,126,HP,Notebook,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,Windows 10,1.63,43263.36,0,0,157.3505121487356,Intel Core i5
127,127,127,Asus,Notebook,AMD E-Series 6110 1.5GHz,4,64GB SSD,AMD Radeon R2,Windows 10 S,1.65,14811.3072,0,0,111.93520355955212,AMD Processor
128,128,128,Dell,Notebook,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8,74378.88,0,0,127.33567457123112,Intel Core i7
129,129,129,HP,Notebook,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,2.5,49443.84,0,0,127.33567457123112,Intel Core i5
130,130,130,Dell,Notebook,Intel Core i5 7200U 2.5GHz,8,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36,34045.3872,0,0,100.45466986113652,Intel Core i5
131,131,131,Dell,Notebook,Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon R5 M430,Windows 10,2.2,23922.72,0,0,141.21199808219862,Intel Core i3
132,132,132,Acer,Ultrabook,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6,47099.52,0,1,157.3505121487356,Intel Core i7
133,133,133,Acer,Notebook,Intel Core i3 7130U 2.7GHz,4,256GB SSD,Nvidia GeForce MX130,Windows 10,2.2,30476.16,0,0,141.21199808219862,Intel Core i3
134,134,134,HP,Notebook,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Intel HD Graphics 620,Windows 10,2.05,31861.44,0,0,100.45466986113652,Intel Core i7
135,135,135,HP,Notebook,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.63,52640.64,0,0,157.3505121487356,Intel Core i7
136,136,136,Lenovo,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,No OS,1.9,13445.7408,0,0,100.45466986113652,Intel Processor
137,137,137,Asus,Gaming,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.0,49976.64,0,0,127.33567457123112,Intel Core i5
138,138,138,Lenovo,Notebook,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Nvidia GeForce 920MX,No OS,2.2,26586.72,0,0,141.21199808219862,Intel Core i5
139,139,139,HP,Notebook,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,Windows 10,1.32,37242.72,0,1,165.6321180513006,Intel Core i5
140,140,140,Acer,Notebook,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,Windows 10,3.0,34898.4,0,1,127.33567457123112,Intel Core i3
141,141,141,Lenovo,Notebook,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon RX 550,Windows 10,1.75,59461.5456,0,1,157.3505121487356,Intel Core i5
142,142,142,Lenovo,Gaming,Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050M,No OS,2.4,46300.32,0,1,141.21199808219862,Intel Core i7
143,143,143,Toshiba,Notebook,Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,Windows 10,2.1,32074.56,0,0,100.45466986113652,Intel Core i5
144,144,144,HP,Notebook,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86,19660.32,0,0,100.45466986113652,AMD Processor
145,145,145,Asus,Ultrabook,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.25,58554.72,0,0,157.3505121487356,Intel Core i7
146,146,146,HP,Ultrabook,Intel Core M 6Y75 1.2GHz,8,512GB SSD,Intel HD Graphics 515,Windows 10,0.97,107305.92,1,1,352.4651472131677,Intel Processor
147,147,147,Asus,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,Windows 10,2.0,18328.32,0,0,141.21199808219862,Intel Processor
148,148,148,MSI,Gaming,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9,108105.12,0,0,127.33567457123112,Intel Core i7
