,Unnamed: 0.2,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Hybrid,Flash_Storage
38,38,HP,Notebook,4,Intel HD Graphics 620,Windows 10,1.86,26037.4032,0,0,100.45466986113652,Intel Core i5,1000,0,0,0
39,39,HP,Notebook,8,Nvidia GeForce 930MX ,Windows 10,2.1,46833.12,0,0,141.21199808219862,Intel Core i5,0,256,0,0
40,40,Asus,Notebook,4,Intel HD Graphics 620,Linux,2.0,20725.92,0,0,141.21199808219862,Intel Core i3,1000,0,0,0
41,41,Dell,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,2.65,79866.72,0,1,141.21199808219862,Intel Core i7,1000,256,0,0
42,42,Asus,Notebook,8,Nvidia GeForce 940MX,Linux,2.3,27864.9072,0,0,100.45466986113652,Intel Core i5,1000,0,0,0
43,43,Acer,Notebook,4,Intel UHD Graphics 620,Windows 10,2.2,36336.96,0,1,141.21199808219862,Intel Core i5,0,256,0,0
44,44,Dell,2 in 1 Convertible,12,Nvidia GeForce 150MX,Windows 10,2.77,53226.72,1,0,127.33567457123112,Intel Core i5,1000,0,0,0
45,45,Apple,Ultrabook,8,Intel Iris Graphics 540,macOS,1.37,75604.32,0,1,226.98300468106115,Intel Core i5,0,256,0,0
46,46,Lenovo,Notebook,4,Intel HD Graphics 520,No OS,2.2,19660.32,0,0,100.45466986113652,Intel Core i3,0,128,0,0
47,47,Asus,Gaming,8,AMD Radeon RX 580,Windows 10,3.2,69210.72,0,0,127.33567457123112,AMD Processor,1000,256,0,0
48,48,Dell,Notebook,4,AMD Radeon R5 M430,Windows 10,2.3,34045.92,0,0,141.21199808219862,Intel Core i5,0,256,0,0
49,49,Asus,Notebook,4,Nvidia GeForce 920MX,Windows 10,2.8,24828.48,0,0,90.58340172449304,Intel Processor,1000,0,0,0
50,50,Lenovo,2 in 1 Convertible,4,Intel HD Graphics 400,Android,0.69,16996.32,1,1,224.1738090785728,Intel Processor,0,0,0,64
51,51,Acer,Notebook,8,Nvidia GeForce MX150,Windows 10,2.2,44808.48,0,1,141.21199808219862,Intel Core i7,0,256,0,0
52,52,HP,Notebook,4,AMD Radeon R4 Graphics,Windows 10,1.86,21231.5472,0,0,141.21199808219862,AMD Processor,0,256,0,0
53,53,HP,Notebook,8,Intel UHD Graphics 620,Windows 10,1.49,58767.84,0,0,165.6321180513006,Intel Core i7,0,512,0,0
54,54,Acer,Notebook,4,Intel HD Graphics 620,Windows 10,2.4,20459.52,0,0,100.45466986113652,Intel Core i3,1000,0,0,0
55,55,Dell,Notebook,8,AMD Radeon 520,Windows 10,2.13,40908.384,0,0,141.21199808219862,Intel Core i7,0,256,0,0
56,56,HP,Notebook,4,Intel HD Graphics 520,Windows 10,1.91,23389.92,0,0,141.21199808219862,Intel Core i3,0,128,0,0
57,57,Asus,Notebook,4,Intel HD Graphics 620,Windows 10,2.0,31232.2032,0,0,100.45466986113652,Intel Core i5,0,256,0,0
58,58,MSI,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,2.43,130482.72,0,0,127.33567457123112,Intel Core i7,2000,256,0,0
59,59,Asus,Notebook,4,Intel HD Graphics 520,Linux,2.0,22111.2,0,0,141.21199808219862,Intel Core i3,0,256,0,0
60,60,Dell,Notebook,16,AMD Radeon 530,Windows 10,2.8,69210.72,0,0,127.33567457123112,Intel Core i7,2000,256,0,0
61,61,Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.7,46833.12,0,0,157.3505121487356,Intel Core i5,0,256,0,0
62,62,Lenovo,Notebook,8,Intel HD Graphics 620,No OS,1.7,31914.72,0,1,157.3505121487356,Intel Core i3,0,256,0,0
63,63,Asus,Notebook,8,Intel UHD Graphics 620,Windows 10,1.4,50136.48,0,0,157.3505121487356,Intel Core i5,0,256,0,0
64,64,HP,Notebook,8,Intel HD Graphics 620,Windows 10,1.86,36763.2,0,0,141.21199808219862,Intel Core i5,0,256,0,0
65,65,Asus,Ultrabook,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,105654.24,0,0,141.21199808219862,Intel Core i7,0,512,0,0
66,66,HP,Notebook,4,AMD Radeon 520,Windows 10,1.86,23373.4032,0,0,100.45466986113652,Intel Core i3,500,0,0,0
67,67,HP,Notebook,4,Intel HD Graphics 400,Windows 10,1.44,12201.12,0,0,111.93520355955212,Intel Processor,0,32,0,0
68,68,Lenovo,Notebook,4,Intel HD Graphics 620,Windows 10,1.9,29250.72,0,0,141.21199808219862,Intel Core i5,1000,0,0,0
69,69,Asus,Gaming,12,Nvidia GeForce GTX 1050 Ti,Linux,3.0,50562.72,0,0,127.33567457123112,Intel Core i7,1000,0,0,0
70,70,Microsoft,Ultrabook,4,Intel HD Graphics 620,Windows 10 S,1.252,58021.92,1,0,200.84255993695703,Intel Core i5,0,128,0,0
71,71,Dell,Ultrabook,8,AMD Radeon 530,Windows 10,1.4,50882.4,0,1,165.6321180513006,Intel Core i7,0,256,0,0
72,72,Dell,Notebook,8,AMD Radeon 530,Windows 10,2.2,46353.6,0,0,141.21199808219862,Intel Core i7,0,256,0,0
73,73,MSI,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.7,58341.6,0,0,127.33567457123112,Intel Core i5,1000,128,0,0
74,74,Acer,Notebook,8,Intel HD Graphics 520,Windows 10,2.1,20725.92,0,0,111.93520355955212,Intel Core i3,1000,0,0,0
75,75,Asus,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.2,50562.72,0,0,141.21199808219862,Intel Core i7,1000,0,0,0
76,76,Lenovo,Notebook,8,Intel HD Graphics 620,No OS,2.2,27652.32,0,0,141.21199808219862,Intel Core i5,2000,0,0,0
77,77,Dell,Notebook,8,Intel UHD Graphics 620,Windows 10,2.02,45554.4,0,0,141.21199808219862,Intel Core i7,1000,128,0,0
78,78,Acer,Notebook,4,Nvidia GeForce MX130,Windows 10,2.2,28238.4,0,0,141.21199808219862,Intel Core i3,1000,0,0,0
79,79,HP,Notebook,8,Nvidia GeForce 930MX,Windows 10,2.5,52054.56,0,0,127.33567457123112,Intel Core i5,1000,128,0,0
80,80,Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.88,58403.4048,0,1,141.21199808219862,Intel Core i5,0,256,0,0
81,81,Apple,Ultrabook,8,Intel HD Graphics 615,macOS,0.92,80452.8,0,1,226.4155471693585,Intel Core i5,0,512,0,0
82,82,HP,Notebook,8,Intel HD Graphics 620,Windows 10,1.63,45820.8,0,0,157.3505121487356,Intel Core i5,0,256,0,0
83,83,Lenovo,Notebook,4,AMD R4 Graphics,Windows 10,2.2,21258.72,0,0,141.21199808219862,AMD Processor,0,128,0,0
84,84,Acer,Notebook,4,AMD Radeon R5,Windows 10,2.1,21045.6,0,0,100.45466986113652,AMD Processor,1000,0,0,0
85,85,Dell,Gaming,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,71874.72,0,1,141.21199808219862,Intel Core i7,1000,128,0,0
86,86,HP,Ultrabook,8,Nvidia GeForce GTX 940MX,Windows 10,1.83,37242.72,0,1,141.21199808219862,Intel Core i7,0,256,0,0
87,87,HP,Notebook,8,Intel HD Graphics 620,Windows 10,1.96,31914.1872,0,0,141.21199808219862,Intel Core i5,0,256,0,0
88,88,Asus,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,2.2,77202.72,0,1,141.21199808219862,Intel Core i7,1000,128,0,0
89,89,Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.21,87858.72,0,1,165.6321180513006,Intel Core i7,0,256,0,0
90,90,Asus,Gaming,8,AMD Radeon RX 560,Windows 10,2.45,37242.72,0,0,141.21199808219862,AMD Processor,1000,0,0,0
91,91,Acer,Notebook,8,Nvidia GeForce MX150,Windows 10,2.2,36709.92,0,0,141.21199808219862,Intel Core i7,1000,0,0,0
92,92,HP,Notebook,16,Intel UHD Graphics 620,Windows 10,1.49,63776.16,0,0,165.6321180513006,Intel Core i7,0,512,0,0
93,93,Dell,Gaming,8,Nvidia GeForce GTX 1060,Windows 10,2.65,63669.6,0,0,141.21199808219862,Intel Core i5,0,256,0,0
94,94,Asus,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.25,55890.72,0,0,157.3505121487356,Intel Core i7,0,256,0,0
95,95,Acer,2 in 1 Convertible,8,Intel UHD Graphics 620,Windows 10,1.5,45128.16,1,1,165.6321180513006,Intel Core i5,0,256,0,0
96,96,Dell,Notebook,8,AMD Radeon R5 M430,Linux,2.2,31962.672,0,0,141.21199808219862,Intel Core i7,1000,0,0,0
97,97,Dell,Notebook,4,AMD Radeon R5 M430,Linux,2.2,25840.8,0,0,141.21199808219862,Intel Core i3,0,256,0,0
98,98,Asus,Notebook,6,Nvidia GeForce 920M,Windows 10,2.0,30742.56,0,0,141.21199808219862,Intel Core i3,0,256,0,0
99,99,HP,Gaming,12,Nvidia GeForce GTX 1050,Windows 10,2.62,66546.72,0,1,141.21199808219862,Intel Core i7,1000,128,0,0
100,100,HP,Notebook,8,AMD Radeon 530,Windows 10,1.91,38308.32,0,0,141.21199808219862,Intel Core i7,0,256,0,0
101,101,HP,Notebook,4,AMD Radeon R2,Windows 10,2.1,18594.72,0,0,141.21199808219862,AMD Processor,500,0,0,0
102,102,Dell,Notebook,8,AMD Radeon 520,Linux,2.2,34472.16,0,0,141.21199808219862,Intel Core i5,1000,0,0,0
103,103,HP,Ultrabook,8,Nvidia GeForce MX150,Windows 10,1.38,59620.32,0,1,165.6321180513006,Intel Core i7,0,256,0,0
104,104,Microsoft,Ultrabook,8,Intel HD Graphics 620,Windows 10 S,1.252,71395.2,1,0,200.84255993695703,Intel Core i5,0,256,0,0
105,105,HP,Notebook,6,Nvidia GeForce 940MX,Windows 10,1.58,35111.52,0,1,157.3505121487356,Intel Core i5,0,256,0,0
106,106,Lenovo,Notebook,4,Intel HD Graphics 520,Windows 10,1.85,22105.872,0,0,141.21199808219862,Intel Core i3,1000,0,0,0
107,107,Asus,Ultrabook,8,Nvidia GeForce 940MX,Windows 10,1.3,63563.04,0,1,157.3505121487356,Intel Core i7,0,256,0,0
108,108,MSI,Gaming,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,69210.72,0,0,141.21199808219862,Intel Core i7,1000,256,0,0
109,109,Lenovo,Notebook,8,Intel HD Graphics 620,Windows 10,1.58,78854.4,0,1,157.3505121487356,Intel Core i7,0,256,0,0
110,110,Asus,Ultrabook,16,Nvidia GeForce MX150,Windows 10,1.5,67239.36,0,0,141.21199808219862,Intel Core i7,1000,256,0,0
111,111,Dell,Ultrabook,8,Intel Iris Plus Graphics 640,Windows 10,1.23,73473.12,1,0,276.053530085501,Intel Core i7,0,256,0,0
112,112,Lenovo,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,1.37,74538.72,1,1,165.6321180513006,Intel Core i5,0,256,0,0
113,113,HP,Notebook,4,Intel UHD Graphics 620,Windows 10,1.63,38468.16,0,1,111.93520355955212,Intel Core i5,500,0,0,0
114,114,Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.21,86793.12,0,1,165.6321180513006,Intel Core i5,0,256,0,0
115,115,HP,2 in 1 Convertible,8,Intel UHD Graphics 620,Windows 10,1.26,74538.1872,1,1,165.6321180513006,Intel Core i5,0,256,0,0
116,116,HP,Notebook,8,Intel UHD Graphics 620,Windows 10,1.63,57755.52,0,0,157.3505121487356,Intel Core i7,0,512,0,0
117,117,Dell,Notebook,8,Nvidia GeForce 940MX,Windows 10,2.16,60223.9824,0,1,141.21199808219862,Intel Core i7,1000,256,0,0
118,118,Asus,Notebook,4,Nvidia GeForce 920MX,Windows 10,2.0,30049.92,0,0,127.33567457123112,Intel Core i3,1000,0,0,0
119,119,Asus,Notebook,8,Nvidia GeForce 940MX,Windows 10,1.7,59567.04,0,0,141.21199808219862,Intel Core i7,0,256,0,0
120,120,Acer,Notebook,6,Intel HD Graphics 620,Windows 10,2.1,25521.12,1,1,141.21199808219862,Intel Core i3,1000,0,0,0
121,121,MSI,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,1.8,119427.12,0,0,141.21199808219862,Intel Core i7,2000,256,0,0
122,122,Lenovo,Notebook,8,Nvidia GeForce 940MX,No OS,2.2,33513.12,0,0,141.21199808219862,Intel Core i5,0,256,0,0
123,123,HP,Notebook,16,Nvidia GeForce 930MX ,Windows 10,2.5,67718.88,0,0,127.33567457123112,Intel Core i7,0,512,0,0
124,124,Acer,Notebook,4,AMD Radeon R5,Windows 10,2.1,24029.28,0,0,100.45466986113652,AMD Processor,0,256,0,0
125,125,HP,Notebook,4,Intel HD Graphics 400,No OS,1.86,13799.52,0,0,100.45466986113652,Intel Processor,500,0,0,0
126,126,HP,Notebook,8,Intel UHD Graphics 620,Windows 10,1.63,43263.36,0,0,157.3505121487356,Intel Core i5,1000,0,0,0
127,127,Asus,Notebook,4,AMD Radeon R2,Windows 10 S,1.65,14811.3072,0,0,111.93520355955212,AMD Processor,0,64,0,0
128,128,Dell,Notebook,16,AMD Radeon 530,Windows 10,2.8,74378.88,0,0,127.33567457123112,Intel Core i7,2000,256,0,0
129,129,HP,Notebook,8,Intel UHD Graphics 620,Windows 10,2.5,49443.84,0,0,127.33567457123112,Intel Core i5,0,256,0,0
130,130,Dell,Notebook,8,AMD Radeon R7 M445,Windows 10,2.36,34045.3872,0,0,100.45466986113652,Intel Core i5,1000,0,0,0
131,131,Dell,Notebook,4,AMD Radeon R5 M430,Windows 10,2.2,23922.72,0,0,141.21199808219862,Intel Core i3,1000,0,0,0
132,132,Acer,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.6,47099.52,0,1,157.3505121487356,Intel Core i7,0,256,0,0
133,133,Acer,Notebook,4,Nvidia GeForce MX130,Windows 10,2.2,30476.16,0,0,141.21199808219862,Intel Core i3,0,256,0,0
134,134,HP,Notebook,8,Intel HD Graphics 620,Windows 10,2.05,31861.44,0,0,100.45466986113652,Intel Core i7,1000,0,0,0
135,135,HP,Notebook,8,Intel UHD Graphics 620,Windows 10,1.63,52640.64,0,0,157.3505121487356,Intel Core i7,0,256,0,0
136,136,Lenovo,Notebook,4,Intel HD Graphics 500,No OS,1.9,13445.7408,0,0,100.45466986113652,Intel Processor,1000,0,0,0
137,137,Asus,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,3.0,49976.64,0,0,127.33567457123112,Intel Core i5,1000,128,0,0
138,138,Lenovo,Notebook,4,Nvidia GeForce 920MX,No OS,2.2,26586.72,0,0,141.21199808219862,Intel Core i5,1000,0,0,0
139,139,HP,Notebook,4,Intel HD Graphics 620,Windows 10,1.32,37242.72,0,1,165.6321180513006,Intel Core i5,0,256,0,0
140,140,Acer,Notebook,4,Nvidia GeForce MX130,Windows 10,3.0,34898.4,0,1,127.33567457123112,Intel Core i3,1000,0,0,0
141,141,Lenovo,Notebook,8,AMD Radeon RX 550,Windows 10,1.75,59461.5456,0,1,157.3505121487356,Intel Core i5,0,256,0,0
142,142,Lenovo,Gaming,8,Nvidia GeForce GTX 1050M,No OS,2.4,46300.32,0,1,141.21199808219862,Intel Core i7,0,256,0,0
143,143,Toshiba,Notebook,4,Intel HD Graphics 520,Windows 10,2.1,32074.56,0,0,100.45466986113652,Intel Core i5,500,0,0,0
144,144,HP,Notebook,4,AMD Radeon R4 Graphics,Windows 10,1.86,19660.32,0,0,100.45466986113652,AMD Processor,0,256,0,0
145,145,Asus,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.25,58554.72,0,0,157.3505121487356,Intel Core i7,0,256,0,0
146,146,HP,Ultrabook,8,Intel HD Graphics 515,Windows 10,0.97,107305.92,1,1,352.4651472131677,Intel Processor,0,512,0,0
147,147,Asus,Notebook,4,Intel HD Graphics 500,Windows 10,2.0,18328.32,0,0,141.21199808219862,Intel Processor,1000,0,0,0
148,148,MSI,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,2.9,108105.12,0,0,127.33567457123112,Intel Core i7,1000,256,0,0
149,149,Acer,Notebook,4,Intel HD Graphics 520,Windows 10,2.1,23816.16,0,0,100.45466986113652,Intel Core i3,1000,0,0,0
150,150,Dell,Gaming,16,Nvidia GeForce GTX 1050,Windows 10,2.56,66560.5728,0,0,141.21199808219862,Intel Core i7,0,512,0,0
151,151,Dell,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.62,47898.72,0,0,141.21199808219862,Intel Core i7,0,0,1000,0
152,152,Lenovo,Notebook,4,Intel HD Graphics 620,Windows 10,1.9,26533.44,0,0,100.45466986113652,Intel Core i5,0,128,0,0
153,153,MSI,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,2.8,100699.2,0,0,127.33567457123112,Intel Core i7,1000,256,0,0
154,154,HP,Ultrabook,4,Intel HD Graphics 620,Windows 10,1.48,57648.96,0,0,157.3505121487356,Intel Core i5,0,256,0,0
155,155,HP,Notebook,6,AMD Radeon 520,Windows 10,1.91,32980.32,0,0,141.21199808219862,Intel Core i5,0,256,0,0
156,156,Lenovo,2 in 1 Convertible,4,Intel HD Graphics 620,Windows 10,1.74,33513.12,1,1,157.3505121487356,Intel Core i3,0,256,0,0
157,157,Asus,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,1.1,70063.2,1,0,165.6321180513006,Intel Core i5,0,256,0,0
158,158,Dell,2 in 1 Convertible,8,Intel UHD Graphics 620,Windows 10,1.56,55890.72,1,0,141.21199808219862,Intel Core i7,0,256,0,0
159,159,Toshiba,Notebook,4,Intel HD Graphics 520,Windows 10,2.1,23816.16,0,0,100.45466986113652,Intel Core i3,500,0,0,0
160,160,Asus,Notebook,4,AMD Radeon R5 M420,Windows 10,2.03,21471.84,0,0,100.45466986113652,AMD Processor,1000,0,0,0
161,161,Acer,Notebook,4,Nvidia GeForce MX150,Windows 10,3.0,42890.4,0,1,127.33567457123112,Intel Core i5,0,256,0,0
162,162,Dell,Notebook,8,AMD Radeon 520,Windows 10,2.13,38787.84,0,0,141.21199808219862,Intel Core i5,0,256,0,0
163,163,Lenovo,Gaming,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,57489.12,0,1,141.21199808219862,Intel Core i7,0,256,0,0
164,164,Acer,Notebook,4,Intel HD Graphics 500,Windows 10,2.1,18541.44,0,0,100.45466986113652,Intel Processor,1000,0,0,0
165,165,MSI,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,2.4,95850.72,0,1,141.21199808219862,Intel Core i7,1000,256,0,0
166,166,Acer,Notebook,4,Intel HD Graphics 505,Windows 10,2.1,19367.8128,0,0,100.45466986113652,Intel Processor,1000,0,0,0
167,167,Dell,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.56,56502.9072,0,0,141.21199808219862,Intel Core i7,1000,128,0,0
168,168,Acer,Notebook,8,Nvidia GeForce MX150,Windows 10,3.0,45501.12,0,1,127.33567457123112,Intel Core i5,0,256,0,0
169,169,HP,Notebook,4,Intel UHD Graphics 620,Windows 10,1.49,40173.12,0,1,165.6321180513006,Intel Core i5,500,0,0,0
170,170,Huawei,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.05,71874.72,0,1,199.69207064108247,Intel Core i5,0,256,0,0
171,171,HP,Notebook,6,AMD Radeon 520,Windows 10,2.71,37242.72,0,1,127.33567457123112,Intel Core i5,2000,0,0,0
172,172,Lenovo,Notebook,4,AMD Radeon R4 Graphics,No OS,2.2,16463.52,0,0,100.45466986113652,AMD Processor,500,0,0,0
173,173,Toshiba,Notebook,4,Intel HD Graphics 620,Windows 10,2.0,26053.92,0,0,100.45466986113652,Intel Core i3,500,0,0,0
174,174,HP,Notebook,8,Nvidia GeForce 930MX,Windows 10,2.5,49177.44,0,0,127.33567457123112,Intel Core i5,0,256,0,0
175,175,Dell,Notebook,8,Intel HD Graphics 620,Windows 10,2.3,24455.52,0,0,100.45466986113652,Intel Core i3,1000,0,0,0
176,176,Acer,Notebook,4,Intel HD Graphics 520,Windows 10,2.1,23922.72,0,0,100.45466986113652,Intel Core i3,0,128,0,0
177,177,MSI,Gaming,32,Nvidia GTX 980 SLI,Windows 10,4.4,149130.72,0,0,119.7232157653423,Intel Core i7,1000,512,0,0
178,178,Lenovo,Notebook,8,AMD R17M-M1-70,Windows 10,1.9,43316.64,0,0,141.21199808219862,Intel Core i5,1000,128,0,0
179,179,HP,2 in 1 Convertible,8,Intel UHD Graphics 620,Windows 10,1.29,79866.72,1,1,331.2642361026012,Intel Core i5,0,256,0,0
180,180,Dell,Notebook,16,AMD Radeon 530,Linux,2.02,55890.72,0,0,141.21199808219862,Intel Core i7,2000,256,0,0
181,181,Dell,Ultrabook,8,Intel UHD Graphics 620,Windows 10,1.23,74538.72,0,0,165.6321180513006,Intel Core i5,0,256,0,0
182,182,Lenovo,2 in 1 Convertible,16,Intel UHD Graphics 620,Windows 10,1.4,98514.72,1,1,316.96506044349616,Intel Core i7,0,512,0,0
183,183,Toshiba,Notebook,8,Intel HD Graphics 620,Windows 10,2.0,42251.04,0,0,100.45466986113652,Intel Core i5,0,128,0,0
184,184,Xiaomi,Notebook,8,Nvidia GeForce MX150,No OS,1.95,63882.72,0,1,141.21199808219862,Intel Core i5,0,256,0,0
185,185,Dell,Notebook,16,Nvidia GeForce 150MX,Windows 10,2.77,82530.72,1,0,127.33567457123112,Intel Core i7,0,512,0,0
186,186,Dell,Notebook,16,Nvidia GeForce GTX 1050,Windows 10,2.06,127712.16,1,0,282.42399616439724,Intel Core i7,0,512,0,0
187,187,Lenovo,Gaming,8,Nvidia GeForce GTX 1050,No OS,2.4,41505.12,0,1,141.21199808219862,Intel Core i5,0,256,0,0
188,188,Acer,Ultrabook,8,Intel HD Graphics 615,Windows 10,1.12,52693.92,0,1,165.6321180513006,Intel Core i5,0,256,0,0
189,189,Dell,Notebook,8,AMD Radeon 530,Windows 10,2.8,57808.8,0,0,127.33567457123112,Intel Core i7,1000,128,0,0
190,190,Lenovo,2 in 1 Convertible,16,Intel HD Graphics 620,Windows 10,1.42,150462.72,1,0,209.8006828649808,Intel Core i7,0,1000,0,0
191,191,Vero,Notebook,4,Intel HD Graphics 500,Windows 10,1.3,13852.8,0,1,157.3505121487356,Intel Processor,0,0,0,32
